date,sunrise,sunset
2013-03-25,0 days 05:52:00.000000000,0 days 18:22:00.000000000
2013-04-25,0 days 05:44:00.000000000,0 days 20:14:00.000000000
2013-05-25,0 days 04:56:00.000000000,0 days 21:00:00.000000000
2013-06-25,0 days 04:45:00.000000000,0 days 21:22:00.000000000
2013-01-26,0 days 07:47:00.000000000,0 days 16:40:00.000000000
2013-02-26,0 days 06:52:00.000000000,0 days 17:36:00.000000000
2013-03-26,0 days 05:50:00.000000000,0 days 18:24:00.000000000
2013-04-26,0 days 05:42:00.000000000,0 days 20:16:00.000000000
2013-05-26,0 days 04:55:00.000000000,0 days 21:01:00.000000000
2013-06-26,0 days 04:45:00.000000000,0 days 21:22:00.000000000
2013-01-27,0 days 07:46:00.000000000,0 days 16:41:00.000000000
2013-02-27,0 days 06:50:00.000000000,0 days 17:38:00.000000000
2013-03-27,0 days 05:47:00.000000000,0 days 18:26:00.000000000
2013-04-27,0 days 05:40:00.000000000,0 days 20:18:00.000000000
2013-05-27,0 days 04:54:00.000000000,0 days 21:03:00.000000000
2013-06-27,0 days 04:45:00.000000000,0 days 21:22:00.000000000
2013-01-28,0 days 07:45:00.000000000,0 days 16:43:00.000000000
2013-02-28,0 days 06:48:00.000000000,0 days 17:39:00.000000000
2013-03-28,0 days 05:45:00.000000000,0 days 18:27:00.000000000
2013-04-28,0 days 05:38:00.000000000,0 days 20:19:00.000000000
2013-05-28,0 days 04:53:00.000000000,0 days 21:04:00.000000000
2013-06-28,0 days 04:46:00.000000000,0 days 21:22:00.000000000
2013-01-29,0 days 07:43:00.000000000,0 days 16:45:00.000000000
2013-03-29,0 days 05:43:00.000000000,0 days 18:29:00.000000000
2013-04-29,0 days 05:36:00.000000000,0 days 20:21:00.000000000
2013-05-29,0 days 04:52:00.000000000,0 days 21:05:00.000000000
2013-06-29,0 days 04:47:00.000000000,0 days 21:21:00.000000000
2013-01-30,0 days 07:42:00.000000000,0 days 16:47:00.000000000
2013-03-30,0 days 05:40:00.000000000,0 days 18:31:00.000000000
2013-04-30,0 days 05:34:00.000000000,0 days 20:22:00.000000000
2013-05-30,0 days 04:51:00.000000000,0 days 21:06:00.000000000
2013-06-30,0 days 04:47:00.000000000,0 days 21:21:00.000000000
2013-01-31,0 days 07:40:00.000000000,0 days 16:49:00.000000000
2013-03-31,0 days 06:38:00.000000000,0 days 19:32:00.000000000
2013-05-31,0 days 04:50:00.000000000,0 days 21:07:00.000000000
2013-07-01,0 days 04:48:00.000000000,0 days 21:21:00.000000000
2013-08-01,0 days 05:24:00.000000000,0 days 20:48:00.000000000
2013-09-01,0 days 06:13:00.000000000,0 days 19:47:00.000000000
2013-10-01,0 days 07:01:00.000000000,0 days 18:38:00.000000000
2013-11-01,0 days 06:54:00.000000000,0 days 16:33:00.000000000
2013-12-01,0 days 07:44:00.000000000,0 days 15:55:00.000000000
2013-07-02,0 days 04:49:00.000000000,0 days 21:21:00.000000000
2013-08-02,0 days 05:26:00.000000000,0 days 20:47:00.000000000
2013-09-02,0 days 06:15:00.000000000,0 days 19:45:00.000000000
2013-10-02,0 days 07:03:00.000000000,0 days 18:36:00.000000000
2013-11-02,0 days 06:56:00.000000000,0 days 16:32:00.000000000
2013-12-02,0 days 07:45:00.000000000,0 days 15:55:00.000000000
2013-07-03,0 days 04:49:00.000000000,0 days 21:20:00.000000000
2013-08-03,0 days 05:28:00.000000000,0 days 20:45:00.000000000
2013-09-03,0 days 06:17:00.000000000,0 days 19:42:00.000000000
2013-10-03,0 days 07:05:00.000000000,0 days 18:34:00.000000000
2013-11-03,0 days 06:58:00.000000000,0 days 16:30:00.000000000
2013-12-03,0 days 07:47:00.000000000,0 days 15:54:00.000000000
